Dataset,Environment,Size,Categories/classes,Annotation type,Key characteristics,Challenges,Citation key,Link
PlantVillage,Lab,"54,303",38,Labels,"Captured in a lab; single leaf per image; uniform background","Data imbalance; fine-grained classification",mohanty2016using,https://data.mendeley.com/datasets/tywbtsjrjv/1 ; https://www.tensorflow.org/datasets/catalog/plant_village
PlantDoc,Natural & Lab,"2,569",30,Labels & Bounding Boxes,"Field images; some misclassification","Imbalanced data; variability",mohanty2016using,https://github.com/pratikkayal/PlantDoc-Dataset ; https://github.com/pratikkayal/PlantDoc-Dataset
Cassava Leaf Disease,Natural,"21,367",5,Labels,Crowd-sourced from farmers,Real-world variability,Cassava_Competition,https://www.kaggle.com/c/cassava-leaf-disease-classification ; https://www.kaggle.com/c/cassava-leaf-disease-classification
FieldPlant,Natural,"5,170",27,Labels & Bounding Boxes,"Collected from plantations; complex backgrounds","Imbalanced data; cluttered environment",moupojou2023fieldplant,https://universe.roboflow.com/plant-disease-detection/fieldplant ; https://universe.roboflow.com/plant-disease-detection/fieldplant
CD&S,Natural,"1,597",3,Labels & Bounding Boxes,"Field-acquired; augmented images",Disease classification,CDS,https://arxiv.org/abs/2110.12084 ; https://arxiv.org/abs/2110.12084
JMuBEN,Natural,"58,555",5,Labels,Multiclass classification,Small image resolution,jepkoech2021jmuben2,https://data.mendeley.com/datasets/tgv3zb82nd/1 ; https://data.mendeley.com/datasets/tgv3zb82nd/1
Cucumber Disease Dataset,Natural,"6,400",8,Labels,"Multiclass classification; augmented images",Fine-grained classification,sultana2023dataset,https://data.mendeley.com/datasets/y6d3z6f8z9.1 ; https://data.mendeley.com/datasets/y6d3z6f8z9
Tobacco Leaf Abnormality,Natural,"1,430",16,Labels,"Single disease focus; high-resolution images","Class imbalance; disease similarity",lin2024few,No clear public standalone dataset link found; https://pubmed.ncbi.nlm.nih.gov/38681219/
Tobacco Plant Disease Dataset,Natural,"2,721",12,Labels & Bounding Boxes,Detailed multi-class annotations,"Occlusion; fragmented disease recognition",tpdd,https://research.mpu.edu.mo/en/publications/tobacco-plant-disease-dataset ; https://research.mpu.edu.mo/en/publications/tobacco-plant-disease-dataset
BananaLSD,Natural,"1,600",4,Labels,"Field-captured smartphone images; expert pathologist labeling","Three distinct leaf spot diseases; real-world variability",bhuiyan2023bananasqueezenet; arman2023bananalsd,https://www.kaggle.com/datasets/shifatearman/bananalsd
Banana Leaves Imagery,Natural,"11,767",3,Labels,"Multi-regional collection; high-resolution smartphone capture","Geographic diversity; disease severity variation",mduma2025banana,https://www.nature.com/articles/s41597-025-04456-4
Tanzania Banana Leaf Dataset,Natural,"17,068",3,Labels,"Farmer garden collection; camera device standardization","Real-world field variability; mobile image quality consistency",mduma2022nelson,https://doi.org/10.7910/DVN/LQUWXW ; https://ngdc.cncb.ac.cn/opia/dataset/datasets/tables?dataId=35
PSFD-Musa Banana Leaf Dataset,Natural,"8,000",15,Labels,"Multi-aspect banana health assessment; augmented images","Multi-class identification; diverse disease types",medhi2022psfd,https://www.kaggle.com/datasets/shifatearman/bananalsd
Makerere AI Bean Disease,Natural,"1,295",3,Labels,"Smartphone-captured field images; expert annotation by NaCRRI","Real-world variability; mobile deployment requirements",makerere2020bean,https://github.com/AI-Lab-Makerere/ibean/ ; https://github.com/Lwhieldon/Cassava-Leaf-Disease-Classification
CGIAR Bean Disease,Natural,"9,969",6,"Labels & Bounding Boxes (34,053 micro annotations)","Multi-disease coverage; leaf and pod samples; disease hotspot collection","Complex backgrounds; co-occurring diseases; large-scale variations",gomez2024advancing,https://doi.org/10.1038/s41598-024-66281-w ; https://data.mendeley.com/datasets/3832tx2cb2/1
AGM_HS,Natural,"6,127",2,Labels & Segmentation,"Top-view of crops; segmentation masks",Detection and localization of plant stress,Sama_2023_ICCV,https://huggingface.co/datasets/deep-plants/AGM_HS
PlantSeg,Natural,"11,400",115,Labels & Segmentation,"In-the-wild images; diverse environments; segmentation masks",Disease region identification and classification,wei2024plantseg,https://arxiv.org/abs/2409.04038 ; https://zenodo.org/records/13958858 ; https://arxiv.org/abs/2409.04038
